FileTools-AppendLogToFile-error:读取文件内容发生错误！文件“E:\MyCoding\c#\2015\SWebVulnsScan\SWebVulnsScan\bin\Debug\logs\2016年5月4日.log.txt”正由另一进程使用，因此该进程无法访问此文件。----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64348----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64339----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64359----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64352----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64352----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64356----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64346----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64364----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64356----2016/5/4 17:32:57
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64344----2016/5/4 17:32:57
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64371----2016/5/4 17:32:57
